n;Task1;Task2;Task3
355;4;1065;252050
356;4;1068;253472
357;4;1071;254898
358;4;1074;256328
359;4;1077;257762
360;4;1080;259200
361;4;1083;260642
362;4;1086;262088
363;4;1089;263538
364;4;1092;264992
365;4;1095;266450
366;4;1098;267912
367;4;1101;269378
368;4;1104;270848
369;4;1107;272322
370;4;1110;273800
371;4;1113;275282
372;4;1116;276768
373;4;1119;278258
374;4;1122;279752
375;4;1125;281250
376;4;1128;282752
377;4;1131;284258
378;4;1134;285768
379;4;1137;287282
380;4;1140;288800
381;4;1143;290322
382;4;1146;291848
383;4;1149;293378
384;4;1152;294912
385;4;1155;296450
386;4;1158;297992
387;4;1161;299538
388;4;1164;301088
389;4;1167;302642
390;4;1170;304200
391;4;1173;305762
392;4;1176;307328
393;4;1179;308898
394;4;1182;310472
395;4;1185;312050
396;4;1188;313632
397;4;1191;315218
398;4;1194;316808
399;4;1197;318402
400;4;1200;320000
401;4;1203;321602
402;4;1206;323208
403;4;1209;324818
404;4;1212;326432
405;4;1215;328050
406;4;1218;329672
407;4;1221;331298
408;4;1224;332928
409;4;1227;334562
410;4;1230;336200
411;4;1233;337842
412;4;1236;339488
413;4;1239;341138
414;4;1242;342792
415;4;1245;344450
416;4;1248;346112
417;4;1251;347778
418;4;1254;349448
419;4;1257;351122
420;4;1260;352800
421;4;1263;354482
422;4;1266;356168
423;4;1269;357858
424;4;1272;359552
425;4;1275;361250
426;4;1278;362952
427;4;1281;364658
428;4;1284;366368
429;4;1287;368082
430;4;1290;369800
431;4;1293;371522
432;4;1296;373248
433;4;1299;374978
434;4;1302;376712
435;4;1305;378450
436;4;1308;380192
437;4;1311;381938
438;4;1314;383688
439;4;1317;385442
440;4;1320;387200
441;4;1323;388962
442;4;1326;390728
443;4;1329;392498
444;4;1332;394272
445;4;1335;396050
446;4;1338;397832
447;4;1341;399618
448;4;1344;401408
449;4;1347;403202
450;4;1350;405000
451;4;1353;406802
452;4;1356;408608
453;4;1359;410418
454;4;1362;412232
455;4;1365;414050
456;4;1368;415872
457;4;1371;417698
458;4;1374;419528
459;4;1377;421362
460;4;1380;423200
461;4;1383;425042
462;4;1386;426888
463;4;1389;428738
464;4;1392;430592
465;4;1395;432450
466;4;1398;434312
467;4;1401;436178
468;4;1404;438048
469;4;1407;439922
470;4;1410;441800
471;4;1413;443682
472;4;1416;445568
473;4;1419;447458
474;4;1422;449352
475;4;1425;451250
476;4;1428;453152
477;4;1431;455058
478;4;1434;456968
