n;Task1;Task2;Task3
2808;4;8424;15769728
2809;4;8427;15780962
2810;4;8430;15792200
2811;4;8433;15803442
2812;4;8436;15814688
2813;4;8439;15825938
2814;4;8442;15837192
2815;4;8445;15848450
2816;4;8448;15859712
2817;4;8451;15870978
2818;4;8454;15882248
2819;4;8457;15893522
2820;4;8460;15904800
2821;4;8463;15916082
2822;4;8466;15927368
2823;4;8469;15938658
2824;4;8472;15949952
2825;4;8475;15961250
2826;4;8478;15972552
2827;4;8481;15983858
2828;4;8484;15995168
2829;4;8487;16006482
2830;4;8490;16017800
2831;4;8493;16029122
2832;4;8496;16040448
2833;4;8499;16051778
2834;4;8502;16063112
2835;4;8505;16074450
2836;4;8508;16085792
2837;4;8511;16097138
2838;4;8514;16108488
2839;4;8517;16119842
2840;4;8520;16131200
2841;4;8523;16142562
2842;4;8526;16153928
2843;4;8529;16165298
2844;4;8532;16176672
2845;4;8535;16188050
2846;4;8538;16199432
2847;4;8541;16210818
2848;4;8544;16222208
2849;4;8547;16233602
2850;4;8550;16245000
2851;4;8553;16256402
2852;4;8556;16267808
2853;4;8559;16279218
2854;4;8562;16290632
2855;4;8565;16302050
2856;4;8568;16313472
2857;4;8571;16324898
2858;4;8574;16336328
2859;4;8577;16347762
2860;4;8580;16359200
2861;4;8583;16370642
2862;4;8586;16382088
2863;4;8589;16393538
2864;4;8592;16404992
2865;4;8595;16416450
2866;4;8598;16427912
2867;4;8601;16439378
2868;4;8604;16450848
2869;4;8607;16462322
2870;4;8610;16473800
2871;4;8613;16485282
2872;4;8616;16496768
2873;4;8619;16508258
2874;4;8622;16519752
2875;4;8625;16531250
2876;4;8628;16542752
2877;4;8631;16554258
2878;4;8634;16565768
2879;4;8637;16577282
2880;4;8640;16588800
2881;4;8643;16600322
2882;4;8646;16611848
2883;4;8649;16623378
2884;4;8652;16634912
2885;4;8655;16646450
2886;4;8658;16657992
2887;4;8661;16669538
2888;4;8664;16681088
2889;4;8667;16692642
2890;4;8670;16704200
2891;4;8673;16715762
2892;4;8676;16727328
2893;4;8679;16738898
2894;4;8682;16750472
2895;4;8685;16762050
2896;4;8688;16773632
2897;4;8691;16785218
2898;4;8694;16796808
2899;4;8697;16808402
2900;4;8700;16820000
2901;4;8703;16831602
2902;4;8706;16843208
2903;4;8709;16854818
2904;4;8712;16866432
2905;4;8715;16878050
2906;4;8718;16889672
2907;4;8721;16901298
2908;4;8724;16912928
2909;4;8727;16924562
2910;4;8730;16936200
2911;4;8733;16947842
2912;4;8736;16959488
2913;4;8739;16971138
2914;4;8742;16982792
2915;4;8745;16994450
2916;4;8748;17006112
2917;4;8751;17017778
2918;4;8754;17029448
2919;4;8757;17041122
2920;4;8760;17052800
2921;4;8763;17064482
2922;4;8766;17076168
2923;4;8769;17087858
2924;4;8772;17099552
2925;4;8775;17111250
2926;4;8778;17122952
2927;4;8781;17134658
2928;4;8784;17146368
2929;4;8787;17158082
2930;4;8790;17169800
2931;4;8793;17181522
2932;4;8796;17193248
2933;4;8799;17204978
2934;4;8802;17216712
2935;4;8805;17228450
2936;4;8808;17240192
2937;4;8811;17251938
2938;4;8814;17263688
2939;4;8817;17275442
2940;4;8820;17287200
2941;4;8823;17298962
2942;4;8826;17310728
2943;4;8829;17322498
2944;4;8832;17334272
2945;4;8835;17346050
2946;4;8838;17357832
2947;4;8841;17369618
2948;4;8844;17381408
2949;4;8847;17393202
2950;4;8850;17405000
2951;4;8853;17416802
2952;4;8856;17428608
2953;4;8859;17440418
2954;4;8862;17452232
2955;4;8865;17464050
2956;4;8868;17475872
2957;4;8871;17487698
2958;4;8874;17499528
2959;4;8877;17511362
2960;4;8880;17523200
2961;4;8883;17535042
2962;4;8886;17546888
2963;4;8889;17558738
2964;4;8892;17570592
2965;4;8895;17582450
2966;4;8898;17594312
2967;4;8901;17606178
2968;4;8904;17618048
2969;4;8907;17629922
2970;4;8910;17641800
2971;4;8913;17653682
2972;4;8916;17665568
2973;4;8919;17677458
2974;4;8922;17689352
2975;4;8925;17701250
2976;4;8928;17713152
2977;4;8931;17725058
2978;4;8934;17736968
2979;4;8937;17748882
2980;4;8940;17760800
2981;4;8943;17772722
2982;4;8946;17784648
2983;4;8949;17796578
2984;4;8952;17808512
2985;4;8955;17820450
2986;4;8958;17832392
2987;4;8961;17844338
2988;4;8964;17856288
2989;4;8967;17868242
2990;4;8970;17880200
2991;4;8973;17892162
2992;4;8976;17904128
2993;4;8979;17916098
2994;4;8982;17928072
2995;4;8985;17940050
2996;4;8988;17952032
2997;4;8991;17964018
2998;4;8994;17976008
2999;4;8997;17988002
3000;4;9000;18000000
3001;4;9003;18012002
3002;4;9006;18024008
3003;4;9009;18036018
3004;4;9012;18048032
3005;4;9015;18060050
3006;4;9018;18072072
3007;4;9021;18084098
3008;4;9024;18096128
3009;4;9027;18108162
3010;4;9030;18120200
3011;4;9033;18132242
3012;4;9036;18144288
3013;4;9039;18156338
3014;4;9042;18168392
3015;4;9045;18180450
3016;4;9048;18192512
3017;4;9051;18204578
3018;4;9054;18216648
3019;4;9057;18228722
3020;4;9060;18240800
3021;4;9063;18252882
3022;4;9066;18264968
3023;4;9069;18277058
3024;4;9072;18289152
3025;4;9075;18301250
3026;4;9078;18313352
3027;4;9081;18325458
3028;4;9084;18337568
3029;4;9087;18349682
3030;4;9090;18361800
3031;4;9093;18373922
3032;4;9096;18386048
3033;4;9099;18398178
3034;4;9102;18410312
3035;4;9105;18422450
3036;4;9108;18434592
3037;4;9111;18446738
3038;4;9114;18458888
3039;4;9117;18471042
3040;4;9120;18483200
3041;4;9123;18495362
3042;4;9126;18507528
3043;4;9129;18519698
3044;4;9132;18531872
3045;4;9135;18544050
3046;4;9138;18556232
3047;4;9141;18568418
3048;4;9144;18580608
3049;4;9147;18592802
3050;4;9150;18605000
3051;4;9153;18617202
3052;4;9156;18629408
3053;4;9159;18641618
3054;4;9162;18653832
3055;4;9165;18666050
3056;4;9168;18678272
3057;4;9171;18690498
3058;4;9174;18702728
3059;4;9177;18714962
3060;4;9180;18727200
3061;4;9183;18739442
3062;4;9186;18751688
3063;4;9189;18763938
3064;4;9192;18776192
3065;4;9195;18788450
3066;4;9198;18800712
3067;4;9201;18812978
3068;4;9204;18825248
3069;4;9207;18837522
3070;4;9210;18849800
3071;4;9213;18862082
3072;4;9216;18874368
3073;4;9219;18886658
3074;4;9222;18898952
3075;4;9225;18911250
3076;4;9228;18923552
3077;4;9231;18935858
3078;4;9234;18948168
3079;4;9237;18960482
3080;4;9240;18972800
3081;4;9243;18985122
3082;4;9246;18997448
3083;4;9249;19009778
3084;4;9252;19022112
3085;4;9255;19034450
3086;4;9258;19046792
3087;4;9261;19059138
3088;4;9264;19071488
3089;4;9267;19083842
3090;4;9270;19096200
3091;4;9273;19108562
3092;4;9276;19120928
3093;4;9279;19133298
3094;4;9282;19145672
3095;4;9285;19158050
3096;4;9288;19170432
3097;4;9291;19182818
3098;4;9294;19195208
3099;4;9297;19207602
3100;4;9300;19220000
3101;4;9303;19232402
3102;4;9306;19244808
3103;4;9309;19257218
3104;4;9312;19269632
3105;4;9315;19282050
3106;4;9318;19294472
3107;4;9321;19306898
3108;4;9324;19319328
3109;4;9327;19331762
3110;4;9330;19344200
3111;4;9333;19356642
3112;4;9336;19369088
3113;4;9339;19381538
3114;4;9342;19393992
3115;4;9345;19406450
3116;4;9348;19418912
3117;4;9351;19431378
3118;4;9354;19443848
3119;4;9357;19456322
3120;4;9360;19468800
3121;4;9363;19481282
3122;4;9366;19493768
3123;4;9369;19506258
3124;4;9372;19518752
3125;4;9375;19531250
3126;4;9378;19543752
3127;4;9381;19556258
3128;4;9384;19568768
3129;4;9387;19581282
3130;4;9390;19593800
3131;4;9393;19606322
3132;4;9396;19618848
3133;4;9399;19631378
3134;4;9402;19643912
3135;4;9405;19656450
3136;4;9408;19668992
3137;4;9411;19681538
3138;4;9414;19694088
3139;4;9417;19706642
3140;4;9420;19719200
3141;4;9423;19731762
3142;4;9426;19744328
3143;4;9429;19756898
3144;4;9432;19769472
3145;4;9435;19782050
3146;4;9438;19794632
3147;4;9441;19807218
3148;4;9444;19819808
3149;4;9447;19832402
3150;4;9450;19845000
3151;4;9453;19857602
3152;4;9456;19870208
3153;4;9459;19882818
3154;4;9462;19895432
3155;4;9465;19908050
3156;4;9468;19920672
3157;4;9471;19933298
3158;4;9474;19945928
3159;4;9477;19958562
3160;4;9480;19971200
3161;4;9483;19983842
3162;4;9486;19996488
3163;4;9489;20009138
3164;4;9492;20021792
3165;4;9495;20034450
3166;4;9498;20047112
3167;4;9501;20059778
3168;4;9504;20072448
3169;4;9507;20085122
3170;4;9510;20097800
3171;4;9513;20110482
3172;4;9516;20123168
3173;4;9519;20135858
3174;4;9522;20148552
3175;4;9525;20161250
3176;4;9528;20173952
3177;4;9531;20186658
3178;4;9534;20199368
3179;4;9537;20212082
3180;4;9540;20224800
3181;4;9543;20237522
3182;4;9546;20250248
3183;4;9549;20262978
3184;4;9552;20275712
3185;4;9555;20288450
3186;4;9558;20301192
3187;4;9561;20313938
3188;4;9564;20326688
3189;4;9567;20339442
3190;4;9570;20352200
3191;4;9573;20364962
3192;4;9576;20377728
3193;4;9579;20390498
3194;4;9582;20403272
3195;4;9585;20416050
3196;4;9588;20428832
3197;4;9591;20441618
3198;4;9594;20454408
3199;4;9597;20467202
3200;4;9600;20480000
3201;4;9603;20492802
3202;4;9606;20505608
3203;4;9609;20518418
3204;4;9612;20531232
3205;4;9615;20544050
3206;4;9618;20556872
3207;4;9621;20569698
3208;4;9624;20582528
3209;4;9627;20595362
3210;4;9630;20608200
3211;4;9633;20621042
3212;4;9636;20633888
3213;4;9639;20646738
3214;4;9642;20659592
3215;4;9645;20672450
3216;4;9648;20685312
3217;4;9651;20698178
3218;4;9654;20711048
3219;4;9657;20723922
3220;4;9660;20736800
3221;4;9663;20749682
3222;4;9666;20762568
3223;4;9669;20775458
3224;4;9672;20788352
3225;4;9675;20801250
3226;4;9678;20814152
3227;4;9681;20827058
3228;4;9684;20839968
3229;4;9687;20852882
3230;4;9690;20865800
3231;4;9693;20878722
3232;4;9696;20891648
3233;4;9699;20904578
3234;4;9702;20917512
3235;4;9705;20930450
3236;4;9708;20943392
3237;4;9711;20956338
3238;4;9714;20969288
3239;4;9717;20982242
3240;4;9720;20995200
3241;4;9723;21008162
3242;4;9726;21021128
3243;4;9729;21034098
3244;4;9732;21047072
3245;4;9735;21060050
3246;4;9738;21073032
3247;4;9741;21086018
3248;4;9744;21099008
3249;4;9747;21112002
3250;4;9750;21125000
3251;4;9753;21138002
3252;4;9756;21151008
3253;4;9759;21164018
3254;4;9762;21177032
3255;4;9765;21190050
3256;4;9768;21203072
3257;4;9771;21216098
3258;4;9774;21229128
3259;4;9777;21242162
3260;4;9780;21255200
3261;4;9783;21268242
3262;4;9786;21281288
3263;4;9789;21294338
3264;4;9792;21307392
3265;4;9795;21320450
3266;4;9798;21333512
3267;4;9801;21346578
3268;4;9804;21359648
3269;4;9807;21372722
3270;4;9810;21385800
3271;4;9813;21398882
3272;4;9816;21411968
3273;4;9819;21425058
3274;4;9822;21438152
3275;4;9825;21451250
3276;4;9828;21464352
3277;4;9831;21477458
3278;4;9834;21490568
3279;4;9837;21503682
3280;4;9840;21516800
3281;4;9843;21529922
3282;4;9846;21543048
3283;4;9849;21556178
3284;4;9852;21569312
3285;4;9855;21582450
3286;4;9858;21595592
3287;4;9861;21608738
3288;4;9864;21621888
3289;4;9867;21635042
3290;4;9870;21648200
3291;4;9873;21661362
3292;4;9876;21674528
3293;4;9879;21687698
3294;4;9882;21700872
3295;4;9885;21714050
3296;4;9888;21727232
3297;4;9891;21740418
3298;4;9894;21753608
3299;4;9897;21766802
3300;4;9900;21780000
3301;4;9903;21793202
3302;4;9906;21806408
3303;4;9909;21819618
3304;4;9912;21832832
3305;4;9915;21846050
3306;4;9918;21859272
3307;4;9921;21872498
3308;4;9924;21885728
3309;4;9927;21898962
3310;4;9930;21912200
3311;4;9933;21925442
3312;4;9936;21938688
3313;4;9939;21951938
3314;4;9942;21965192
3315;4;9945;21978450
3316;4;9948;21991712
3317;4;9951;22004978
3318;4;9954;22018248
3319;4;9957;22031522
3320;4;9960;22044800
3321;4;9963;22058082
3322;4;9966;22071368
3323;4;9969;22084658
3324;4;9972;22097952
3325;4;9975;22111250
3326;4;9978;22124552
3327;4;9981;22137858
3328;4;9984;22151168
3329;4;9987;22164482
3330;4;9990;22177800
3331;4;9993;22191122
3332;4;9996;22204448
3333;4;9999;22217778
3334;4;10002;22231112
3335;4;10005;22244450
3336;4;10008;22257792
3337;4;10011;22271138
3338;4;10014;22284488
3339;4;10017;22297842
3340;4;10020;22311200
3341;4;10023;22324562
3342;4;10026;22337928
3343;4;10029;22351298
3344;4;10032;22364672
3345;4;10035;22378050
3346;4;10038;22391432
3347;4;10041;22404818
3348;4;10044;22418208
3349;4;10047;22431602
3350;4;10050;22445000
3351;4;10053;22458402
3352;4;10056;22471808
3353;4;10059;22485218
3354;4;10062;22498632
3355;4;10065;22512050
3356;4;10068;22525472
3357;4;10071;22538898
3358;4;10074;22552328
3359;4;10077;22565762
3360;4;10080;22579200
3361;4;10083;22592642
3362;4;10086;22606088
3363;4;10089;22619538
3364;4;10092;22632992
3365;4;10095;22646450
3366;4;10098;22659912
3367;4;10101;22673378
3368;4;10104;22686848
3369;4;10107;22700322
3370;4;10110;22713800
3371;4;10113;22727282
3372;4;10116;22740768
3373;4;10119;22754258
3374;4;10122;22767752
3375;4;10125;22781250
3376;4;10128;22794752
3377;4;10131;22808258
3378;4;10134;22821768
3379;4;10137;22835282
3380;4;10140;22848800
3381;4;10143;22862322
3382;4;10146;22875848
3383;4;10149;22889378
3384;4;10152;22902912
3385;4;10155;22916450
3386;4;10158;22929992
3387;4;10161;22943538
3388;4;10164;22957088
3389;4;10167;22970642
3390;4;10170;22984200
3391;4;10173;22997762
3392;4;10176;23011328
3393;4;10179;23024898
3394;4;10182;23038472
3395;4;10185;23052050
3396;4;10188;23065632
3397;4;10191;23079218
3398;4;10194;23092808
3399;4;10197;23106402
3400;4;10200;23120000
3401;4;10203;23133602
3402;4;10206;23147208
3403;4;10209;23160818
3404;4;10212;23174432
3405;4;10215;23188050
3406;4;10218;23201672
3407;4;10221;23215298
3408;4;10224;23228928
3409;4;10227;23242562
3410;4;10230;23256200
3411;4;10233;23269842
3412;4;10236;23283488
3413;4;10239;23297138
3414;4;10242;23310792
3415;4;10245;23324450
3416;4;10248;23338112
3417;4;10251;23351778
3418;4;10254;23365448
3419;4;10257;23379122
3420;4;10260;23392800
3421;4;10263;23406482
3422;4;10266;23420168
3423;4;10269;23433858
3424;4;10272;23447552
3425;4;10275;23461250
3426;4;10278;23474952
3427;4;10281;23488658
3428;4;10284;23502368
3429;4;10287;23516082
3430;4;10290;23529800
3431;4;10293;23543522
3432;4;10296;23557248
3433;4;10299;23570978
3434;4;10302;23584712
3435;4;10305;23598450
3436;4;10308;23612192
3437;4;10311;23625938
3438;4;10314;23639688
3439;4;10317;23653442
3440;4;10320;23667200
3441;4;10323;23680962
3442;4;10326;23694728
3443;4;10329;23708498
3444;4;10332;23722272
3445;4;10335;23736050
3446;4;10338;23749832
3447;4;10341;23763618
3448;4;10344;23777408
3449;4;10347;23791202
3450;4;10350;23805000
3451;4;10353;23818802
3452;4;10356;23832608
3453;4;10359;23846418
3454;4;10362;23860232
3455;4;10365;23874050
3456;4;10368;23887872
3457;4;10371;23901698
3458;4;10374;23915528
3459;4;10377;23929362
3460;4;10380;23943200
3461;4;10383;23957042
3462;4;10386;23970888
3463;4;10389;23984738
3464;4;10392;23998592
3465;4;10395;24012450
3466;4;10398;24026312
3467;4;10401;24040178
3468;4;10404;24054048
3469;4;10407;24067922
3470;4;10410;24081800
3471;4;10413;24095682
3472;4;10416;24109568
3473;4;10419;24123458
3474;4;10422;24137352
3475;4;10425;24151250
3476;4;10428;24165152
3477;4;10431;24179058
3478;4;10434;24192968
3479;4;10437;24206882
3480;4;10440;24220800
3481;4;10443;24234722
3482;4;10446;24248648
3483;4;10449;24262578
3484;4;10452;24276512
3485;4;10455;24290450
3486;4;10458;24304392
3487;4;10461;24318338
3488;4;10464;24332288
3489;4;10467;24346242
3490;4;10470;24360200
3491;4;10473;24374162
3492;4;10476;24388128
3493;4;10479;24402098
3494;4;10482;24416072
3495;4;10485;24430050
3496;4;10488;24444032
3497;4;10491;24458018
3498;4;10494;24472008
3499;4;10497;24486002
3500;4;10500;24500000
3501;4;10503;24514002
3502;4;10506;24528008
3503;4;10509;24542018
3504;4;10512;24556032
3505;4;10515;24570050
3506;4;10518;24584072
3507;4;10521;24598098
3508;4;10524;24612128
3509;4;10527;24626162
3510;4;10530;24640200
3511;4;10533;24654242
3512;4;10536;24668288
3513;4;10539;24682338
3514;4;10542;24696392
3515;4;10545;24710450
3516;4;10548;24724512
3517;4;10551;24738578
3518;4;10554;24752648
3519;4;10557;24766722
3520;4;10560;24780800
3521;4;10563;24794882
3522;4;10566;24808968
3523;4;10569;24823058
3524;4;10572;24837152
3525;4;10575;24851250
3526;4;10578;24865352
3527;4;10581;24879458
3528;4;10584;24893568
3529;4;10587;24907682
3530;4;10590;24921800
3531;4;10593;24935922
3532;4;10596;24950048
3533;4;10599;24964178
3534;4;10602;24978312
3535;4;10605;24992450
3536;4;10608;25006592
3537;4;10611;25020738
3538;4;10614;25034888
3539;4;10617;25049042
3540;4;10620;25063200
3541;4;10623;25077362
3542;4;10626;25091528
3543;4;10629;25105698
3544;4;10632;25119872
3545;4;10635;25134050
3546;4;10638;25148232
3547;4;10641;25162418
3548;4;10644;25176608
3549;4;10647;25190802
3550;4;10650;25205000
3551;4;10653;25219202
3552;4;10656;25233408
3553;4;10659;25247618
3554;4;10662;25261832
3555;4;10665;25276050
3556;4;10668;25290272
3557;4;10671;25304498
3558;4;10674;25318728
3559;4;10677;25332962
3560;4;10680;25347200
3561;4;10683;25361442
3562;4;10686;25375688
3563;4;10689;25389938
3564;4;10692;25404192
3565;4;10695;25418450
3566;4;10698;25432712
3567;4;10701;25446978
3568;4;10704;25461248
3569;4;10707;25475522
3570;4;10710;25489800
3571;4;10713;25504082
3572;4;10716;25518368
3573;4;10719;25532658
3574;4;10722;25546952
3575;4;10725;25561250
3576;4;10728;25575552
3577;4;10731;25589858
3578;4;10734;25604168
3579;4;10737;25618482
3580;4;10740;25632800
3581;4;10743;25647122
3582;4;10746;25661448
3583;4;10749;25675778
3584;4;10752;25690112
3585;4;10755;25704450
3586;4;10758;25718792
3587;4;10761;25733138
3588;4;10764;25747488
3589;4;10767;25761842
3590;4;10770;25776200
3591;4;10773;25790562
3592;4;10776;25804928
3593;4;10779;25819298
3594;4;10782;25833672
3595;4;10785;25848050
3596;4;10788;25862432
3597;4;10791;25876818
3598;4;10794;25891208
3599;4;10797;25905602
3600;4;10800;25920000
3601;4;10803;25934402
3602;4;10806;25948808
3603;4;10809;25963218
3604;4;10812;25977632
3605;4;10815;25992050
3606;4;10818;26006472
3607;4;10821;26020898
3608;4;10824;26035328
3609;4;10827;26049762
3610;4;10830;26064200
3611;4;10833;26078642
3612;4;10836;26093088
3613;4;10839;26107538
3614;4;10842;26121992
3615;4;10845;26136450
3616;4;10848;26150912
3617;4;10851;26165378
3618;4;10854;26179848
3619;4;10857;26194322
3620;4;10860;26208800
3621;4;10863;26223282
3622;4;10866;26237768
3623;4;10869;26252258
3624;4;10872;26266752
3625;4;10875;26281250
3626;4;10878;26295752
3627;4;10881;26310258
3628;4;10884;26324768
3629;4;10887;26339282
3630;4;10890;26353800
3631;4;10893;26368322
3632;4;10896;26382848
3633;4;10899;26397378
3634;4;10902;26411912
3635;4;10905;26426450
3636;4;10908;26440992
3637;4;10911;26455538
3638;4;10914;26470088
3639;4;10917;26484642
3640;4;10920;26499200
3641;4;10923;26513762
3642;4;10926;26528328
3643;4;10929;26542898
3644;4;10932;26557472
3645;4;10935;26572050
3646;4;10938;26586632
3647;4;10941;26601218
3648;4;10944;26615808
3649;4;10947;26630402
3650;4;10950;26645000
3651;4;10953;26659602
3652;4;10956;26674208
3653;4;10959;26688818
3654;4;10962;26703432
3655;4;10965;26718050
3656;4;10968;26732672
3657;4;10971;26747298
3658;4;10974;26761928
3659;4;10977;26776562
3660;4;10980;26791200
3661;4;10983;26805842
3662;4;10986;26820488
3663;4;10989;26835138
3664;4;10992;26849792
3665;4;10995;26864450
3666;4;10998;26879112
3667;4;11001;26893778
3668;4;11004;26908448
3669;4;11007;26923122
3670;4;11010;26937800
3671;4;11013;26952482
3672;4;11016;26967168
3673;4;11019;26981858
3674;4;11022;26996552
3675;4;11025;27011250
3676;4;11028;27025952
3677;4;11031;27040658
3678;4;11034;27055368
3679;4;11037;27070082
3680;4;11040;27084800
3681;4;11043;27099522
3682;4;11046;27114248
3683;4;11049;27128978
3684;4;11052;27143712
3685;4;11055;27158450
3686;4;11058;27173192
3687;4;11061;27187938
3688;4;11064;27202688
3689;4;11067;27217442
3690;4;11070;27232200
3691;4;11073;27246962
3692;4;11076;27261728
3693;4;11079;27276498
3694;4;11082;27291272
3695;4;11085;27306050
3696;4;11088;27320832
3697;4;11091;27335618
3698;4;11094;27350408
3699;4;11097;27365202
3700;4;11100;27380000
3701;4;11103;27394802
3702;4;11106;27409608
3703;4;11109;27424418
3704;4;11112;27439232
3705;4;11115;27454050
3706;4;11118;27468872
3707;4;11121;27483698
3708;4;11124;27498528
3709;4;11127;27513362
3710;4;11130;27528200
3711;4;11133;27543042
3712;4;11136;27557888
3713;4;11139;27572738
3714;4;11142;27587592
3715;4;11145;27602450
3716;4;11148;27617312
3717;4;11151;27632178
3718;4;11154;27647048
3719;4;11157;27661922
3720;4;11160;27676800
3721;4;11163;27691682
3722;4;11166;27706568
3723;4;11169;27721458
3724;4;11172;27736352
3725;4;11175;27751250
3726;4;11178;27766152
3727;4;11181;27781058
3728;4;11184;27795968
3729;4;11187;27810882
3730;4;11190;27825800
3731;4;11193;27840722
3732;4;11196;27855648
3733;4;11199;27870578
3734;4;11202;27885512
3735;4;11205;27900450
3736;4;11208;27915392
3737;4;11211;27930338
3738;4;11214;27945288
3739;4;11217;27960242
3740;4;11220;27975200
3741;4;11223;27990162
3742;4;11226;28005128
3743;4;11229;28020098
3744;4;11232;28035072
3745;4;11235;28050050
3746;4;11238;28065032
3747;4;11241;28080018
3748;4;11244;28095008
3749;4;11247;28110002
3750;4;11250;28125000
3751;4;11253;28140002
3752;4;11256;28155008
3753;4;11259;28170018
3754;4;11262;28185032
3755;4;11265;28200050
3756;4;11268;28215072
3757;4;11271;28230098
3758;4;11274;28245128
3759;4;11277;28260162
3760;4;11280;28275200
3761;4;11283;28290242
3762;4;11286;28305288
3763;4;11289;28320338
3764;4;11292;28335392
3765;4;11295;28350450
3766;4;11298;28365512
3767;4;11301;28380578
3768;4;11304;28395648
3769;4;11307;28410722
3770;4;11310;28425800
3771;4;11313;28440882
3772;4;11316;28455968
3773;4;11319;28471058
3774;4;11322;28486152
3775;4;11325;28501250
3776;4;11328;28516352
3777;4;11331;28531458
3778;4;11334;28546568
3779;4;11337;28561682
3780;4;11340;28576800
3781;4;11343;28591922
3782;4;11346;28607048
3783;4;11349;28622178
3784;4;11352;28637312
3785;4;11355;28652450
3786;4;11358;28667592
3787;4;11361;28682738
3788;4;11364;28697888
3789;4;11367;28713042
3790;4;11370;28728200
3791;4;11373;28743362
3792;4;11376;28758528
3793;4;11379;28773698
3794;4;11382;28788872
3795;4;11385;28804050
3796;4;11388;28819232
3797;4;11391;28834418
3798;4;11394;28849608
3799;4;11397;28864802
3800;4;11400;28880000
3801;4;11403;28895202
3802;4;11406;28910408
3803;4;11409;28925618
3804;4;11412;28940832
3805;4;11415;28956050
3806;4;11418;28971272
3807;4;11421;28986498
3808;4;11424;29001728
3809;4;11427;29016962
3810;4;11430;29032200
3811;4;11433;29047442
3812;4;11436;29062688
3813;4;11439;29077938
3814;4;11442;29093192
3815;4;11445;29108450
3816;4;11448;29123712
3817;4;11451;29138978
3818;4;11454;29154248
3819;4;11457;29169522
3820;4;11460;29184800
3821;4;11463;29200082
3822;4;11466;29215368
3823;4;11469;29230658
3824;4;11472;29245952
3825;4;11475;29261250
3826;4;11478;29276552
3827;4;11481;29291858
3828;4;11484;29307168
3829;4;11487;29322482
3830;4;11490;29337800
3831;4;11493;29353122
3832;4;11496;29368448
3833;4;11499;29383778
3834;4;11502;29399112
3835;4;11505;29414450
3836;4;11508;29429792
3837;4;11511;29445138
3838;4;11514;29460488
3839;4;11517;29475842
3840;4;11520;29491200
3841;4;11523;29506562
3842;4;11526;29521928
3843;4;11529;29537298
3844;4;11532;29552672
3845;4;11535;29568050
3846;4;11538;29583432
3847;4;11541;29598818
3848;4;11544;29614208
3849;4;11547;29629602
3850;4;11550;29645000
3851;4;11553;29660402
3852;4;11556;29675808
3853;4;11559;29691218
3854;4;11562;29706632
3855;4;11565;29722050
3856;4;11568;29737472
3857;4;11571;29752898
3858;4;11574;29768328
3859;4;11577;29783762
3860;4;11580;29799200
3861;4;11583;29814642
3862;4;11586;29830088
3863;4;11589;29845538
3864;4;11592;29860992
3865;4;11595;29876450
3866;4;11598;29891912
3867;4;11601;29907378
3868;4;11604;29922848
3869;4;11607;29938322
3870;4;11610;29953800
3871;4;11613;29969282
3872;4;11616;29984768
3873;4;11619;30000258
3874;4;11622;30015752
3875;4;11625;30031250
3876;4;11628;30046752
3877;4;11631;30062258
3878;4;11634;30077768
3879;4;11637;30093282
3880;4;11640;30108800
3881;4;11643;30124322
3882;4;11646;30139848
3883;4;11649;30155378
3884;4;11652;30170912
3885;4;11655;30186450
3886;4;11658;30201992
3887;4;11661;30217538
3888;4;11664;30233088
3889;4;11667;30248642
3890;4;11670;30264200
3891;4;11673;30279762
3892;4;11676;30295328
3893;4;11679;30310898
3894;4;11682;30326472
3895;4;11685;30342050
3896;4;11688;30357632
3897;4;11691;30373218
3898;4;11694;30388808
3899;4;11697;30404402
3900;4;11700;30420000
3901;4;11703;30435602
3902;4;11706;30451208
3903;4;11709;30466818
3904;4;11712;30482432
3905;4;11715;30498050
3906;4;11718;30513672
3907;4;11721;30529298
3908;4;11724;30544928
3909;4;11727;30560562
3910;4;11730;30576200
3911;4;11733;30591842
3912;4;11736;30607488
3913;4;11739;30623138
3914;4;11742;30638792
3915;4;11745;30654450
3916;4;11748;30670112
3917;4;11751;30685778
3918;4;11754;30701448
3919;4;11757;30717122
3920;4;11760;30732800
3921;4;11763;30748482
3922;4;11766;30764168
3923;4;11769;30779858
3924;4;11772;30795552
3925;4;11775;30811250
3926;4;11778;30826952
3927;4;11781;30842658
3928;4;11784;30858368
3929;4;11787;30874082
3930;4;11790;30889800
3931;4;11793;30905522
3932;4;11796;30921248
3933;4;11799;30936978
3934;4;11802;30952712
3935;4;11805;30968450
3936;4;11808;30984192
3937;4;11811;30999938
3938;4;11814;31015688
3939;4;11817;31031442
3940;4;11820;31047200
3941;4;11823;31062962
3942;4;11826;31078728
3943;4;11829;31094498
3944;4;11832;31110272
3945;4;11835;31126050
3946;4;11838;31141832
3947;4;11841;31157618
3948;4;11844;31173408
3949;4;11847;31189202
3950;4;11850;31205000
3951;4;11853;31220802
3952;4;11856;31236608
3953;4;11859;31252418
3954;4;11862;31268232
3955;4;11865;31284050
3956;4;11868;31299872
3957;4;11871;31315698
3958;4;11874;31331528
3959;4;11877;31347362
3960;4;11880;31363200
3961;4;11883;31379042
3962;4;11886;31394888
3963;4;11889;31410738
3964;4;11892;31426592
3965;4;11895;31442450
3966;4;11898;31458312
3967;4;11901;31474178
3968;4;11904;31490048
3969;4;11907;31505922
3970;4;11910;31521800
3971;4;11913;31537682
3972;4;11916;31553568
